Text,Size
bitcoin-cryptocurrency,5295
crypto-bitcoin,4531
bitcoin-ethereum,4342
bitcoin-btc,4287
price-bitcoin,3681
bitcoin-blockchain,3550
de-bitcoin,3273
bitcoin-cash,2471
ico-bitcoin,2356
bitcoin-market,1374
