text,size
bitcoin-cryptocurrency,9714
cryptocurrency-blockchain,7470
cryptocurrency-crypto,5419
ico-cryptocurrency,4890
cryptocurrency-ethereum,4469
btc-cryptocurrency,3079
bitcoin-blockchain,2604
cryptocurrency-market,2500
cryptocurrency-exchange,2307
cryptocurrency-eth,1998
