Text,Size
company-percent,6927
mr-virtual,6664
percent-nyt,6594
company-mr,6541
percent-billion,6528
mr-nyt,6058
mr-billion,5659
bitcoin-mr,5518
mr-companies,5055
percent-mr,4853
